"locality","gen_sp","freq","when"
"zamaduenas","Andrena_dorsata",1,"asensio"
"zamaduenas","Lasioglossum_convexiusculum",1,"asensio"
"zamaduenas","Andrena_flavipes",2,"asensio"
"zamaduenas","Lasioglossum_villosulum",1,"asensio"
"zamaduenas","Lasioglossum_malachurum",3,"asensio"
"zamaduenas","Eucera_trivittata",2,"asensio"
"zamaduenas","Andrena_lepida",1,"asensio"
"zamaduenas","Andrena_trimmerana",1,"asensio"
"zamaduenas","Andrena_niveata",1,"asensio"
"zamaduenas","Sphecodes_gibbus",1,"asensio"
"zamaduenas","Andrena_lepida",2,"asensio"
"zamaduenas","Lasioglossum_malachurum",1,"asensio"
"zamaduenas","Andrena_thoracica",1,"asensio"
"zamaduenas","Andrena_albopunctata",1,"asensio"
"zamaduenas","Andrena_ovatula",1,"asensio"
"zamaduenas","Lasioglossum_ibericum",1,"asensio"
"zamaduenas","Anthophora_retusa",1,"asensio"
"zamaduenas","Andrena_spreta",1,"asensio"
"zamaduenas","Anthophora_sp b",1,"asensio"
"zamaduenas","Andrena_agilissima",3,"asensio"
"zamaduenas","Anthophora_leucophaea",1,"asensio"
"zamaduenas","Sphecodes_puncticeps",1,"asensio"
"zamaduenas","Lasioglossum_xanthopum",1,"asensio"
"zamaduenas","Anthophora_aestivalis",1,"asensio"
"zamaduenas","Andrena_flavipes",2,"asensio"
"zamaduenas","Andrena_albopunctata",1,"asensio"
"zamaduenas","Sphecodes_ruficrus",1,"asensio"
"zamaduenas","Andrena_flavipes",2,"asensio"
"zamaduenas","Nomia_diversipes",4,"asensio"
"zamaduenas","Andrena_lagopus",2,"asensio"
"zamaduenas","Nomada_marshamella",1,"asensio"
"zamaduenas","Anthophora_atroalba",2,"asensio"
"zamaduenas","Lasioglossum_pauperatum",1,"asensio"
"zamaduenas","Andrena_assimilis",1,"asensio"
"zamaduenas","Anthophora_senescens",1,"asensio"
"zamaduenas","Anthophora_leucophaea",1,"asensio"
"zamaduenas","Coelioxys_rufocaudata",1,"asensio"
"zamaduenas","Andrena_flavipes",8,"asensio"
"zamaduenas","Andrena_variabilis",1,"asensio"
"zamaduenas","Andrena_carbonaria",3,"asensio"
"zamaduenas","Lasioglossum_sphecodimorphum",1,"asensio"
"zamaduenas","Lasioglossum_aegyptiellum",1,"asensio"
"zamaduenas","Anthophora_senescens",1,"asensio"
"zamaduenas","Ceratina_chalybea",3,"asensio"
"zamaduenas","Lasioglossum_interruptum",1,"asensio"
"zamaduenas","Lasioglossum_pauperatum",1,"asensio"
"zamaduenas","Andrena_carbonaria",1,"asensio"
"zamaduenas","Sphecodes_spinulosus",1,"asensio"
"zamaduenas","Andrena_exigua",2,"asensio"
"zamaduenas","Andrena_flavipes",3,"asensio"
