Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04096687,NZAC04096687,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096655,NZAC04096655,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096646,NZAC04096646,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096643,NZAC04096643,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096629,NZAC04096629,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096627,NZAC04096627,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096590,NZAC04096590,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096584,NZAC04096584,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Auckland,J.G. Myers,24/12/1921,24/12/1921,24,12,December,1921,24/December/1921,24/12/1921,,Pin,NZAC,no_data
NZAC04096169,NZAC04096169,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904",Dun Mt,R.J. Tillyard,9/02/1921,9/02/1921,9,2,February,1921,9/February/1921,9/02/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04096146,NZAC04096146,Hymenoptera,Colletidae,Leioproctus boltoni,Leioproctus boltoni,"Leioproctus (Leioproctus) boltoni Cockerell, 1904",Dun Mt,A. Philpott,9/02/1921,9/02/1921,9,2,February,1921,9/February/1921,9/02/1921,B.J. Donovan,Pin,NZAC,no_data
NZAC04096558,NZAC04096558,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,A. Philpott,27/10/1922,27/10/1922,27,10,October,1922,27/October/1922,27/10/1922,,Pin,NZAC,no_data
NZAC04096512,NZAC04096512,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Arthurs Pass,J.G. Myers,22/12/1922,22/12/1922,22,12,December,1922,22/December/1922,22/12/1922,,Pin,NZAC,no_data
NZAC04096442,NZAC04096442,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Arthurs Pass,J.G. Myers,22/12/1922,22/12/1922,22,12,December,1922,22/December/1922,22/12/1922,,Pin,NZAC,no_data
NZAC04096435,NZAC04096435,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Arthurs Pass,J. Myers,23/12/1922,23/12/1922,23,12,December,1922,23/December/1922,23/12/1922,,Pin,NZAC,no_data
NZAC04096568,NZAC04096568,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Aniseed Valley, Nelson",A. Philpott,23.03.1922,11.12.2662,23,3,March,1922,23/March/1922,23/03/1922,B.J. Donovan,Pin,NZAC,no_data
NZAC04096520,NZAC04096520,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Christchurch, Dallington",E.S. Gourlay,14.12.1922,11.12.2150,14,12,December,1922,14/December/1922,14/12/1922,B.J. Donovan,Pin,NZAC,no_data
NZAC04096539,NZAC04096539,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853","Christchurch, Hawkins Rd",W. Heighway,3/12/1922,3/12/1922,3,12,December,1922,3/December/1922,3/12/1922,,Pin,NZAC,no_data
NZAC04096420,NZAC04096420,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,E.S. Gourlay,27/01/1923,27/01/1923,27,1,January,1923,27/January/1923,27/01/1923,,Pin,NZAC,no_data
NZAC04096396,NZAC04096396,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,E.S. Gourlay,27/01/1923,27/01/1923,27,1,January,1923,27/January/1923,27/01/1923,,Pin,NZAC,no_data
NZAC04096378,NZAC04096378,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,E.S. Gourlay,27/01/1923,27/01/1923,27,1,January,1923,27/January/1923,27/01/1923,,Pin,NZAC,no_data
NZAC04096376,NZAC04096376,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,E.S. Gourlay,27/01/1923,27/01/1923,27,1,January,1923,27/January/1923,27/01/1923,,Pin,NZAC,no_data
NZAC04096370,NZAC04096370,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Dun Mt,E.S. Gourlay,27/01/1923,27/01/1923,27,1,January,1923,27/January/1923,27/01/1923,,Pin,NZAC,no_data
NZAC04070368,NZAC04070368,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Upper Matai,E.S. Gourlay,26/11/1923,26/11/1923,26,11,November,1923,26/November/1923,26/11/1923,,Pin,NZAC,no_data
NZAC04070417,NZAC04070417,Hymenoptera,Halictidae,Lasioglossum maunga,Lasioglossum maunga,"Lasioglossum (Austrevylaeus) maunga Donovan, 2007",Upper Matai,E.S. Gourlay,26/11/1923,26/11/1923,26,11,November,1923,26/November/1923,26/11/1923,,Pin,NZAC,no_data
NZAC04096368,NZAC04096368,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Aniseed Valley, Nelson",A. Philpott,18.02.1923,11.12.2427,18,2,February,1923,18/February/1923,18/02/1923,B.J. Donovan,Pin,NZAC,no_data
NZAC04096360,NZAC04096360,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Christchurch,E.S. Gourlay,Apr-23,Apr-23,NA,4,April,1923,NA/April/1923,NA,B. J. Donovan,Pin,NZAC,no_data
