Accession No,Barcode,Order,Family,species,species_old,Preferred_Name,locality,collector,date_origional,date_mod,day,month,month_chr,year,date_chr,date,Determiner,Specimen Type,collection,method
NZAC04109267,NZAC04109267,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04109273,NZAC04109273,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04108993,NZAC04108993,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04109285,NZAC04109285,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04070328,NZAC04070328,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04070316,NZAC04070316,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04069828,NZAC04069828,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105009,NZAC04105009,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105401,NZAC04105401,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04104609,NZAC04104609,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04100370,NZAC04100370,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105612,NZAC04105612,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105702,NZAC04105702,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105556,NZAC04105556,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105094,NZAC04105094,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105032,NZAC04105032,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105015,NZAC04105015,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105482,NZAC04105482,Hymenoptera,Colletidae,Leioproctus huakiwi,Leioproctus huakiwi,"Leioproctus (Leioproctus) huakiwi Donovan, 2007",Manutuke,B.J. Donovan,23/11/1983,23/11/1983,23,11,November,1983,23/November/1983,23/11/1983,BJ Donovan,Pin,NZAC,no_data
NZAC04105565,NZAC04105565,Hymenoptera,Colletidae,Leioproctus purpureus,Leioproctus purpureus,"Leioproctus (Leioproctus) purpureus (Smith, 1853)","Kekerengu, 1 km S",B.J. Donovan,21/11/1983,21/11/1983,21,11,November,1983,21/November/1983,21/11/1983,,Pin,NZAC,no_data
NZAC04104566,NZAC04104566,Hymenoptera,Apidae,Apis mellifera,Apis mellifera,"Apis mellifera Linnaeus, 1758","Auckland, Mount Albert",P Herbert,30-Jun-84,30-Jun-84,30,6,June,1984,30/June/1984,30/06/1984,S T ,Pin,NZAC,no_data
NZAC04105476,NZAC04105476,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H & J M Davies,28-Mar-84,28-Mar-84,28,3,March,1984,28/March/1984,28/03/1984,S T ,Pin,NZAC,no_data
NZAC04100026,NZAC04100026,Hymenoptera,Halictidae,Lasioglossum cognatum,Lasioglossum cognatum,"Lasioglossum (Chilalictus) cognatum (Smith, 1853)",Miranda,D. Russell,24/01/1984,24/01/1984,24,1,January,1984,24/January/1984,24/01/1984,S.E. Thorpe,Pin,NZAC,no_data
NZAC04099168,NZAC04099168,Hymenoptera,Halictidae,Lasioglossum cognatum,Lasioglossum cognatum,"Lasioglossum (Chilalictus) cognatum (Smith, 1853)",Miranda,D. Russell,24/01/1984,24/01/1984,24,1,January,1984,24/January/1984,24/01/1984,S.E. Thorpe,Pin,NZAC,no_data
NZAC04104668,NZAC04104668,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04104676,NZAC04104676,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04104615,NZAC04104615,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04100685,NZAC04100685,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04104638,NZAC04104638,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04100456,NZAC04100456,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04100012,NZAC04100012,Hymenoptera,Halictidae,Lasioglossum mataroa,Lasioglossum mataroa,"Lasioglossum (Austrevylaeus) mataroa Donovan, 2007",Maryburn Station,C. Butts,16/01/1984,16/01/1984,16,1,January,1984,16/January/1984,16/01/1984,,Pin,NZAC,no_data
NZAC04096667,NZAC04096667,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Puketitiri, Little Bush",T.H. Davies and J.M. Davies,20.12.1984,11.12.2559,20,12,December,1984,20/December/1984,20/12/1984,S.E. Thorpe,Pin,NZAC,no_data
NZAC04096609,NZAC04096609,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Lake Rotoiti,A.K. Walker,27.12.1984,11.12.2805,27,12,December,1984,27/December/1984,27/12/1984,B.J. Donovan,Pin,NZAC,no_data
NZAC04096461,NZAC04096461,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Mayor Island,C.F. Butcher,27.01.1985,11.12.2782,27,1,January,1985,27/January/1985,27/01/1985,S.E. Thorpe,Pin,NZAC,no_data
NZAC04104730,NZAC04104730,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Mayor Island,C.F. Butcher,27.01.1985,11.12.2783,27,1,January,1985,27/January/1985,27/01/1985,S.E. Thorpe,Pin,NZAC,no_data
NZAC04100911,NZAC04100911,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Mayor Island,C.F. Butcher,27.01.1985,11.12.2784,27,1,January,1985,27/January/1985,27/01/1985,S.E. Thorpe,Pin,NZAC,no_data
NZAC04100270,NZAC04100270,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)",Rukuhia,H.A. Oliver,11.10.1985,11.10.85,11,10,October,1985,11/October/1985,11/10/1985,J.A. Berry,Pin,NZAC,no_data
NZAC04070331,NZAC04070331,Hymenoptera,Halictidae,Lasioglossum sordidum,Lasioglossum (Austrevylaeus) sordidum,"Lasioglossum (Austrevylaeus) sordidum (Smith, 1853)","Waimarama, Mohi Bush",T.H. Davies,10.11.1985,10.11.85,10,11,November,1985,10/November/1985,10/11/1985,S.E. Thorpe,Pin,NZAC,no_data
NZAC04096472,NZAC04096472,Hymenoptera,Colletidae,Leioproctus imitatus,Leioproctus imitatus,"Leioproctus (Leioproctus) imitatus Smith, 1853",Okiwi Bay,A.K. Walker,1/01/1985,1/01/1985,1,1,January,1985,1/January/1985,1/01/1985,,Pin,NZAC,no_data
NZAC04105656,NZAC04105656,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04105667,NZAC04105667,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04105427,NZAC04105427,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04105414,NZAC04105414,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04105174,NZAC04105174,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04104863,NZAC04104863,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04104806,NZAC04104806,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04104616,NZAC04104616,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04100146,NZAC04100146,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,10-Oct-86,10-Oct-86,10,10,October,1986,10/October/1986,10/10/1986,S T,Pin,NZAC,no_data
NZAC04100122,NZAC04100122,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,20-Oct-86,20-Oct-86,20,10,October,1986,20/October/1986,20/10/1986,S T,Pin,NZAC,no_data
NZAC04100092,NZAC04100092,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,20-Oct-86,20-Oct-86,20,10,October,1986,20/October/1986,20/10/1986,S T,Pin,NZAC,no_data
NZAC04100053,NZAC04100053,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,20-Oct-86,20-Oct-86,20,10,October,1986,20/October/1986,20/10/1986,S T,Pin,NZAC,no_data
NZAC04100055,NZAC04100055,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,26-Oct-86,26-Oct-86,26,10,October,1986,26/October/1986,26/10/1986,S T ,Pin,NZAC,no_data
NZAC04104872,NZAC04104872,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,26-Oct-86,26-Oct-86,26,10,October,1986,26/October/1986,26/10/1986,S T ,Pin,NZAC,no_data
NZAC04104947,NZAC04104947,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,26-Oct-86,26-Oct-86,26,10,October,1986,26/October/1986,26/10/1986,S T ,Pin,NZAC,no_data
NZAC04105309,NZAC04105309,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Puketitiri, Little Bush",T H Davies,26-Oct-86,26-Oct-86,26,10,October,1986,26/October/1986,26/10/1986,S T ,Pin,NZAC,no_data
NZAC04100537,NZAC04100537,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum (L),"Bombus (Megabombus) hortorum (Linnaeus, 1761)","Grassmere, MC",R P Macfarlane,21/12/1986,21/12/1986,21,12,December,1986,21/December/1986,21/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04100845,NZAC04100845,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum (L),"Bombus (Megabombus) hortorum (Linnaeus, 1761)","Grassmere, MC",R P Macfarlane,21/12/1986,21/12/1986,21,12,December,1986,21/December/1986,21/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04100693,NZAC04100693,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum (L),"Bombus (Megabombus) hortorum (Linnaeus, 1761)","Grassmere, MC",R P Macfarlane,21/12/1986,21/12/1986,21,12,December,1986,21/December/1986,21/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04070278,NZAC04070278,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Sherwood Downs,R P Macfarlane,15.1.1986,11.12.2246,15,1,January,1986,15/January/1986,15/01/1986,,Pin,NZAC,no_data
NZAC04100320,NZAC04100320,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Acheron River,R P Macfarlane,14.12.1986,11.12.2178,14,12,December,1986,14/December/1986,14/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04105646,NZAC04105646,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Acheron R.,R P Macfarlane,14.12.1986,11.12.2179,14,12,December,1986,14/December/1986,14/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04105014,NZAC04105014,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)","Monument Corner, Clifon [Clifton/ Clayton?]",R P Macfarlane,15.12.1986,11.12.2295,15,12,December,1986,15/December/1986,15/12/1986,,Pin,NZAC,no_data
NZAC04104906,NZAC04104906,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Carew-Ealing Water race,R P Macfarlane,15.12.1986,11.12.2296,15,12,December,1986,15/December/1986,15/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04104836,NZAC04104836,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Tekapo,R Macfarlane,15.12.86,11.12.2298,15,12,December,1986,15/December/1986,15/12/1986,,Pin,NZAC,no_data
NZAC04104800,NZAC04104800,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Tekapo,R Macfarlane,15.12.86,11.12.2299,15,12,December,1986,15/December/1986,15/12/1986,,Pin,NZAC,no_data
NZAC04104559,NZAC04104559,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Tekapo,R Macfarlane,15.12.86,11.12.2300,15,12,December,1986,15/December/1986,15/12/1986,,Pin,NZAC,no_data
NZAC04105558,NZAC04105558,Hymenoptera,Apidae,Bombus subterraneus,Bombus subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)","Glenrock, Upper Rakaia",R P Macfarlane,14.12.1986,11.12.2180,14,12,December,1986,14/December/1986,14/12/1986,,Pin,NZAC,no_data
NZAC04105488,NZAC04105488,Hymenoptera,Apidae,Bombus subterraneus,Bombus subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Acheron R.,R P Macfarlane,14.12.1986,11.12.2181,14,12,December,1986,14/December/1986,14/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04104765,NZAC04104765,Hymenoptera,Apidae,Bombus subterraneus,Bombus subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",nr L. Grasmere,R P Macfarlane,21.12.1986,11.12.2635,21,12,December,1986,21/December/1986,21/12/1986,R P Macfarlane,Pin,NZAC,no_data
NZAC04104855,NZAC04104855,Hymenoptera,Colletidae,Hylaeus agilis,Hyleoides agilis,Hyleoides,"Puketitiri, Little Bush",T.H. & J.M. Davies,21/02/1986,21/02/1986,21,2,February,1986,21/February/1986,21/02/1986,,Pin,NZAC,no_data
NZAC04100244,NZAC04100244,Hymenoptera,Colletidae,Hylaeus agilis,Hyleoides agilis,Hyleoides,"Puketitiri, Little Bush",T.H. Davies,27/12/1986,27/12/1986,27,12,December,1986,27/December/1986,27/12/1986,,Pin,NZAC,no_data
NZAC04100415,NZAC04100415,Hymenoptera,Colletidae,Hylaeus agilis,Hyleoides agilis,Hyleoides,"Puketitiri, Little Bush",T.H. Davies,27/12/1986,27/12/1986,27,12,December,1986,27/December/1986,27/12/1986,,Pin,NZAC,no_data
NZAC04070375,NZAC04070375,Hymenoptera,Apidae,Apis mellifera,Apis mellifera ,"Apis mellifera Linnaeus, 1758","Mapua estuary, Bullivants Island",A K Walker,Nov-87,Nov-87,NA,11,November,1987,NA/November/1987,NA,S T,Pin,NZAC,no_data
NZAC04105373,NZAC04105373,Hymenoptera,Apidae,Bombus hortorum,Bombus  hortorum (L),"Bombus (Megabombus) hortorum (Linnaeus, 1761)","Christchurch, Westmoreland",R Macfarlane,14.8.1987,11.12.2185,14,8,August,1987,14/August/1987,14/08/1987,R P Macfarlane,Pin,NZAC,no_data
NZAC04100536,NZAC04100536,Hymenoptera,Apidae,Bombus hortorum,Bombus ) hortorum (L),"Bombus (Megabombus) hortorum (Linnaeus, 1761)","Christchurch, Mount Pleasant",R P Macfarlane,14/08/1987,14/08/1987,14,8,August,1987,14/August/1987,14/08/1987,R P Macfarlane,Pin,NZAC,no_data
NZAC04105435,NZAC04105435,Hymenoptera,Apidae,Bombus ruderatus,Bombus  ruderatus (Fabr.),"Bombus (Megabombus) ruderatus (Fabricius, 1775)",Nelson,C Ford,21/10/1987,21/10/1987,21,10,October,1987,21/October/1987,21/10/1987,R P Macfarlane,Pin,NZAC,no_data
NZAC04105071,NZAC04105071,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Mckenzie Basin ,R P Macfarlane,1987,1987,NA,NA,NA,1987,NA/NA/1987,NA,R P Macfarlane,Pin,NZAC,no_data
NZAC04105493,NZAC04105493,Hymenoptera,Apidae,Bombus subterraneus,Bombus  subterraneus (L.),"Bombus (Subterraneobombus) subterraneus (Linnaeus, 1758)",Mckenzie Basin ,R P Macfarlane,1987,1987,NA,NA,NA,1987,NA/NA/1987,NA,R P Macfarlane,Pin,NZAC,no_data
NZAC04104878,NZAC04104878,Hymenoptera,Apidae,Bombus terrestris,Bombus  terrestris (L.),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Nelson,C Ford,25/10/1987,25/10/1987,25,10,October,1987,25/October/1987,25/10/1987,R P Macfarlane,Pin,NZAC,no_data
NZAC04105102,NZAC04105102,Hymenoptera,Apidae,Bombus terrestris,Bombus  terrestris (L.),"Bombus (Bombus) terrestris (Linnaeus, 1758)",Nelson,C Ford,25/10/1987,25/10/1987,25,10,October,1987,25/October/1987,25/10/1987,ST,Pin,NZAC,no_data
NZAC04104980,NZAC04104980,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104973,NZAC04104973,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04105236,NZAC04105236,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104743,NZAC04104743,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104747,NZAC04104747,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104672,NZAC04104672,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104568,NZAC04104568,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04100689,NZAC04100689,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04104760,NZAC04104760,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04100485,NZAC04100485,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris,"Bombus (Bombus) terrestris (Linnaeus, 1758)",Lee Bay,J S Dugdale,12-Mar-87,12-Mar-87,12,3,March,1987,12/March/1987,12/03/1987,ST,Pin,NZAC,no_data
NZAC04067073,NZAC04067073,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris ,"Bombus (Bombus) terrestris (Linnaeus, 1758)","Bullivants I, Mapua Estuary",A K Walker,Jul-87,Jul-87,NA,7,July,1987,NA/July/1987,NA,ST,Pin,NZAC,no_data
NZAC04070625,NZAC04070625,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris ,"Bombus (Bombus) terrestris (Linnaeus, 1758)","Bullivants Island, Mapua Estuary",A K Walker,Aug-87,Aug-87,NA,8,August,1987,NA/August/1987,NA,ST,Pin,NZAC,no_data
NZAC04070340,NZAC04070340,Hymenoptera,Apidae,Bombus terrestris,Bombus terrestris ,"Bombus (Bombus) terrestris (Linnaeus, 1758)","Bullivants I, Mapua Estuary",A K Walker,Nov-87,Nov-87,NA,11,November,1987,NA/November/1987,NA,ST,Pin,NZAC,no_data
